,ts_code,name,market,publisher,category,base_date,base_point,list_date
285,h20490.CSI,沪港深通综合(全)HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20141128
286,h20646.CSI,美股中国内地全(USD),CSI,中证指数有限公司,规模指数,20070629,1000.0,20180814
287,h20647.CSI,美股中国内地全(CNY),CSI,中证指数有限公司,规模指数,20070629,1000.0,20180814
288,h20748.CSI,沪深300(全)USD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20151106
289,h20749.CSI,沪深300(全)USD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20151106
290,h20750.CSI,中证500(全)USD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20151106
291,h20751.CSI,中证500(全)USD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20151106
292,h20752.CSI,中证500(全)HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20151106
293,h20753.CSI,中证500(全)HKD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20151106
294,h20931.CSI,港股通50(全)(HKD),CSI,中证指数有限公司,规模指数,20141114,3000.0,20170116
295,h20934.CSI,港股通50(全)CNY,CSI,中证指数有限公司,规模指数,20141114,3000.0,20170116
296,h21359.CSI,沪深300(全)AUD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20190830
297,h30133.CSI,金砖DR,CSI,中证指数有限公司,规模指数,20051230,1000.0,20130712
298,h30134.CSI,金砖DR U,CSI,中证指数有限公司,规模指数,20051230,1000.0,20130712
299,h30135.CSI,金砖DR(HK),CSI,中证指数有限公司,规模指数,20051230,1000.0,20130712
300,h30136.CSI,金砖DR(HK)U,CSI,中证指数有限公司,规模指数,20051230,1000.0,20130712
301,h30310.CSI,中证500净收益美元,CSI,中证指数有限公司,规模指数,20041231,1000.0,20140415
302,h30332.CSI,香港50(HKD),CSI,中证指数有限公司,规模指数,20041231,1000.0,20140521
303,h30342.CSI,香港50(CNY),CSI,中证指数有限公司,规模指数,20041231,1000.0,20140521
